game,winner
i10h9j9h11k10j10g6m12l9m8m6i12k9m9i8h7k8l7,1
i10h9j9h11k10j10g6m12k9m9m6k8k13m8h6k11h8n8l8,-1
i10h9j9h11k10j10g6m12k9m9k7k8k13h7m11n10n7h6h8k12n4n12l12n11n9l10l7m7m8o10,1
i10h9j9h11k10j10l9l11i12j11i11i9h8i14n7m8m6o8l7k8l6l8n8m7n6n9,1
i10h9j9h11k10j10g6l11l9n7i12j11i11i13,1
i10h9j9h11k10j10g6m12i12h13k8i13h12h7k7k9k4k12i11g12g13l8e15f14l9i6m6l7n7l5m8,1
i10h9j9h11k10j10g6m12k9m9k7k8h6i6h7i8i7j7,1
i10h9j9h11k10j10n13i12k9m12k13h7i9i7k7k8h10j8i8m13k12k11e10m9f12i11j11g11m14l13k14k16n14l14n7f10m7l7m8l9l10f9g10f7f8,-1
i10h9j9h11k10j10m6i8k9k8h8k11i7g9f9m9l10j8m11j7g10h10i11h13h12i12l8g11i9l5k6k5f6l6j4o5e5g7l11l9i6f8i5n11m10g8i4i3h4k4f4g4g3h2,1
i10h9j9h11k10j10g6m12l9n7i12j11i11i13,1
i10h9j9h11k10j10m6m12g6i8n7l5n6p9m8l9l7k8j7m7n9o10,1
i10h9j9h11k10j10g6m12k9k8l9m9o6i12k13m8l10l7i8h7i7i9,1
i10h9j9h11k10j10g6m12k9m9l7k8h6h7k6m8i7j8l8l6m7o7o5n6m5i6g8j5e6n5n8j7l9g7h8f7g9j6j4f8e11f10f9g11d11e10e9f11g10h13g12d9d7f5d6f6f4d4e8c6e5e7,1
i10h9j9h11k10j10g6m12k9m9k11k8k14h7h6f6m11n12k13k12l12n10l11n11n9l13o10n14n13j6j11i11m8l7,1
i10h9j9h11k10j10l9l11o6i12g6n7m9k9h12m6o7o4p9h7o9n9,1
i10h9j9h11k10j10g6l11l7i8n5l5l9m6o6m4n7m8o7m7m5n6m9k9l8l10k7j6k6k4j3o9j8l6n8o5h3i4i3g3i12o11h13j11i11i13h10g9g11i9h8l14n11m10p7k3f10j4l4q7h4p6r8q8f6g5,0
i10h9j9h11k10j10g6m12k9k8l9m9m8n7l11h13i12j11i13i11g11i8h8l12j14h12h10k7i14f14g13g14j13k12n12m13k11k14i15i16j16j15l13h14h15f15h17h16m11l10f10g9f12i9f9f11g10e10d14e13g15d9g12o11f6i6,0
i10h9j9h11k10j10g6m12l9n7k9m9i12j11h8i8i13i11k11k12f11m6k6h14i16l13f6i6k7k8k4l7e5g7d4i15h6e6k5k3i7j6,1
i10h9j9h11k10j10l9l11o6n7g6m6k9m9i12j11k11k12i13i11h14j12j13h10g9,-1
i10h9j9h11k10j10n13h7k9m12k13k7m6m13n7l9q10p9m10k4m7m5k12k11h8,-1
i10h9j9h11k10j10m6m12l7k8k6i4g6o10l6n6l5l8,1
i10h9j9h11k10j10l9i8l7h13k8m6k9m9,1
i10h9j9h11k10j10g6l11i12i8h13j11f11g12i13i11k11k13h10f13h14j12h12g14j14k15i15k8i16i14h16h15j16k16,1
i10h9j9h11k10j10g6m12l9m8m9k9h12p9i12h7h13j11i13i11g11j14k11j12j13g13h10f12k7f10l8j6j8i9o11n10m13n12n11l11l7l6k8m6,1
i10h9j9h11k10j10i8h7i12m12h13j11i13i11g11h8h10k11l11,-1
i10h9j9h11k10j10g6m12l9n7i12j11i11i13,1
i10h9j9h11k10j10n13i8l7l11n5k11h8n14i7g9l5g10f11f9i12,-1
i10h9j9h11k10j10n13m12k8m6l9k9h12i12o12n7j7m10h5i6g6m14h7i8g7i7i5h6j8g5j3i4l8j6k5n8g10m13m11g9l12f10h8j5k6j14k7k4l6i9,1
i10h9j9h11k10j10g6m12k9m9k11k12h6h7m6k8n7p9j6i6d6i7j7i8h8,-1
i10h9j9h11k10j10g6l11l9n7m6l7i12j11i11i13,1
i10h9j9h11k10j10g6m12k9m9k11k12h6j6i8h7i7i9,1
i10h9j9h11k10j10l9n7m9k9h12l11h7m6p9i12j7i7m10k8l8j6k5m7g6i8l5n5l7l6k6j5j8n3n10o11n9o9,1
i10h9j9h11k10j10l9l11o6i8i12j11i11i13l7l5k8m6k9m9,1
i10h9j9h11k10j10g6m12l9m8m9k9h12i12o9l7n10p8p9n9k6h7k13l12l8o11m10k7j7k8o10l10n12o7m5h6j8h8,-1
i10h9j9h11k10j10g6m12k9m9l7k8n7o7m8l9o10n9q4h7k13i6j7j5k4o6o9o11m7k7p10n8p6k12n10q10m4m6l5k6l4n4,1
i10h9j9h11k10j10g6m12l9n7m6i12k9m9i8h7k8l7,1
i10h9j9h11k10j10g6m12k9m9k6m6h6i6i7j8k7k8,1
i10h9j9h11k10j10g6m12k9k8k13h7n9h13h10g10i7i9g5l12k11k12n12i12j12,-1
i10h9j9h11k10j10n13h7k9m12n9m9n12n11k7k8m10k14l13m13l11k12l10m11,1
i10h9j9h11k10j10g6m12m6i8m8m7n7l9o6p9n6p6n8n5n9n10k6l6,1
